S417C150	archaea
S360C150	archaea
S373C150	archaea
S37C150	archaea
S271C150	archaea
S235C1564	archaea
S406C150	archaea
S410C150	archaea
S11C150	archaea
S153C150	archaea
S10C150	archaea
S438C2094	archaea
S39C150	archaea
S90C150	archaea
S497C2094	archaea
S314C2094	archaea
S377C150	archaea
S17C150	archaea
S155C150	archaea
S190C150	archaea
S36C150	archaea
S87C94	bacteria
S120C764	bacteria
S130C764	bacteria
S254C668	bacteria
S315C773	bacteria
S261C1248	bacteria
S516C1152	bacteria
S24C1152	bacteria
S9C1152	bacteria
S363C1152	bacteria
S277C1152	bacteria
S7C611	bacteria
S241C611	bacteria
S21C611	bacteria
S37C611	bacteria
S13C611	bacteria
S322C1094	bacteria
S402C426	bacteria
S496C426	bacteria
S371C182	bacteria
S410C846	bacteria
S509C846	bacteria
S14C846	bacteria
S361C846	bacteria
S347C846	bacteria
S360C600	bacteria
S397C1660	bacteria
S273C230	bacteria
S328C828	bacteria
S42C828	bacteria
S397C828	bacteria
S273C676	bacteria
S386C411	bacteria
S230C16	bacteria
S187C16	bacteria
S202C16	bacteria
S395C6860	bacteria
S318C576	bacteria
S211C576	bacteria
S239C576	bacteria
S48C576	bacteria
S228C576	bacteria
S8C576	bacteria
S215C576	bacteria
S307C576	bacteria
S124C576	bacteria
S313C576	bacteria
S115C576	bacteria
S357C576	bacteria
S83C576	bacteria
S91C576	bacteria
S204C576	bacteria
S116C576	bacteria
S22C195	bacteria
S367C195	bacteria
S300C195	bacteria
S281C195	bacteria
S362C195	bacteria
S328C195	bacteria
S143C195	bacteria
S149C723	bacteria
S90C71	bacteria
S306C71	bacteria
S516C121	bacteria
S201C121	bacteria
S438C581	bacteria
S418C581	bacteria
S417C86	bacteria
S502C86	bacteria
S465C86	bacteria
S315C86	bacteria
S36C86	bacteria
S360C86	bacteria
S437C256	bacteria
S177C220	bacteria
S19C453	bacteria
S21C453	bacteria
S36C679	bacteria
S301C679	bacteria
S122C679	bacteria
S360C679	bacteria
S187C679	bacteria
S450C679	bacteria
S127C679	bacteria
S148C679	bacteria
S442C679	bacteria
S8C679	bacteria
S490C679	bacteria
S502C679	bacteria
S473C679	bacteria
S489C679	bacteria
S17C679	bacteria
S99C679	bacteria
S392C1164	bacteria
S1C709	bacteria
S102C709	bacteria
S120C58	bacteria
S260C424	bacteria
S396C424	bacteria
S373C424	bacteria
S258C424	bacteria
S410C469	bacteria
S451C469	bacteria
S157C469	bacteria
S78C469	bacteria
S513C469	bacteria
S437C17554	bacteria
S347C469	bacteria
S407C469	bacteria
S354C469	bacteria
S211C469	bacteria
S177C469	bacteria
S367C469	bacteria
S204C469	bacteria
S362C231	bacteria
S108C3177	bacteria
S377C1882	bacteria
S200C112	bacteria
S363C112	bacteria
S382C89	bacteria
S355C89	bacteria
S23C69	bacteria
S197C869	bacteria
S118C258	bacteria
S15C3112	bacteria
S458C518	bacteria
S273C518	bacteria
S24C603	bacteria
S281C603	bacteria
S137C603	bacteria
